date,kr_interest
2007-07-15,5.54
2007-07-16,5.54
2007-07-17,5.54
2007-07-18,5.54
2007-07-19,5.54
2007-07-20,5.54
2007-07-21,5.54
2007-07-22,5.54
2007-07-23,5.54
2007-07-24,5.54
2007-07-25,5.54
2007-07-26,5.54
2007-07-27,5.54
2007-07-28,5.54
2007-07-29,5.54
2007-07-30,5.54
2007-07-31,5.54
2007-08-01,5.45
2007-08-02,5.45
2007-08-03,5.45
2007-08-04,5.45
2007-08-05,5.45
2007-08-06,5.45
2007-08-07,5.45
2007-08-08,5.45
2007-08-09,5.45
2007-08-10,5.45
2007-08-11,5.45
2007-08-12,5.45
2007-08-13,5.45
2007-08-14,5.45
2007-08-15,5.45
2007-08-16,5.45
2007-08-17,5.45
2007-08-18,5.45
2007-08-19,5.45
2007-08-20,5.45
2007-08-21,5.45
2007-08-22,5.45
2007-08-23,5.45
2007-08-24,5.45
2007-08-25,5.45
2007-08-26,5.45
2007-08-27,5.45
2007-08-28,5.45
2007-08-29,5.45
2007-08-30,5.45
2007-08-31,5.45
2007-09-01,5.58
2007-09-02,5.58
2007-09-03,5.58
2007-09-04,5.58
2007-09-05,5.58
2007-09-06,5.58
2007-09-07,5.58
2007-09-08,5.58
2007-09-09,5.58
2007-09-10,5.58
2007-09-11,5.58
2007-09-12,5.58
2007-09-13,5.58
2007-09-14,5.58
2007-09-15,5.58
2007-09-16,5.58
2007-09-17,5.58
2007-09-18,5.58
2007-09-19,5.58
2007-09-20,5.58
2007-09-21,5.58
2007-09-22,5.58
2007-09-23,5.58
2007-09-24,5.58
2007-09-25,5.58
2007-09-26,5.58
2007-09-27,5.58
2007-09-28,5.58
2007-09-29,5.58
2007-09-30,5.58
2007-10-01,5.64
2007-10-02,5.64
2007-10-03,5.64
2007-10-04,5.64
2007-10-05,5.64
2007-10-06,5.64
2007-10-07,5.64
2007-10-08,5.64
2007-10-09,5.64
2007-10-10,5.64
2007-10-11,5.64
2007-10-12,5.64
2007-10-13,5.64
2007-10-14,5.64
2007-10-15,5.64
2007-10-16,5.64
2007-10-17,5.64
2007-10-18,5.64
2007-10-19,5.64
2007-10-20,5.64
2007-10-21,5.64
2007-10-22,5.64
2007-10-23,5.64
2007-10-24,5.64
2007-10-25,5.64
2007-10-26,5.64
2007-10-27,5.64
2007-10-28,5.64
2007-10-29,5.64
2007-10-30,5.64
2007-10-31,5.64
2007-11-01,5.82
2007-11-02,5.82
2007-11-03,5.82
2007-11-04,5.82
2007-11-05,5.82
2007-11-06,5.82
2007-11-07,5.82
2007-11-08,5.82
2007-11-09,5.82
2007-11-10,5.82
2007-11-11,5.82
2007-11-12,5.82
2007-11-13,5.82
2007-11-14,5.82
2007-11-15,5.82
2007-11-16,5.82
2007-11-17,5.82
2007-11-18,5.82
2007-11-19,5.82
2007-11-20,5.82
2007-11-21,5.82
2007-11-22,5.82
2007-11-23,5.82
2007-11-24,5.82
2007-11-25,5.82
2007-11-26,5.82
2007-11-27,5.82
2007-11-28,5.82
2007-11-29,5.82
2007-11-30,5.82
2007-12-01,6.25
2007-12-02,6.25
2007-12-03,6.25
2007-12-04,6.25
2007-12-05,6.25
2007-12-06,6.25
2007-12-07,6.25
2007-12-08,6.25
2007-12-09,6.25
2007-12-10,6.25
2007-12-11,6.25
2007-12-12,6.25
2007-12-13,6.25
2007-12-14,6.25
2007-12-15,6.25
2007-12-16,6.25
2007-12-17,6.25
2007-12-18,6.25
2007-12-19,6.25
2007-12-20,6.25
2007-12-21,6.25
2007-12-22,6.25
2007-12-23,6.25
2007-12-24,6.25
2007-12-25,6.25
2007-12-26,6.25
2007-12-27,6.25
2007-12-28,6.25
2007-12-29,6.25
2007-12-30,6.25
2007-12-31,6.25
2008-01-01,5.8
2008-01-02,5.8
2008-01-03,5.8
2008-01-04,5.8
2008-01-05,5.8
2008-01-06,5.8
2008-01-07,5.8
2008-01-08,5.8
2008-01-09,5.8
2008-01-10,5.8
2008-01-11,5.8
2008-01-12,5.8
2008-01-13,5.8
2008-01-14,5.8
2008-01-15,5.8
2008-01-16,5.8
2008-01-17,5.8
2008-01-18,5.8
2008-01-19,5.8
2008-01-20,5.8
2008-01-21,5.8
2008-01-22,5.8
2008-01-23,5.8
2008-01-24,5.8
2008-01-25,5.8
2008-01-26,5.8
2008-01-27,5.8
2008-01-28,5.8
2008-01-29,5.8
2008-01-30,5.8
2008-01-31,5.8
2008-02-01,5.33
2008-02-02,5.33
2008-02-03,5.33
2008-02-04,5.33
2008-02-05,5.33
2008-02-06,5.33
2008-02-07,5.33
2008-02-08,5.33
2008-02-09,5.33
